,Load [W],Mass Flow Rate [kg/s]
2018-01-01 07:29:00,601.2934821829708,0.1
2018-01-01 07:30:00,240.32669649493005,0.1
2018-01-01 07:31:00,122.51997473194743,0.1
2018-01-01 07:32:00,18.948018838137937,0.1
2018-01-01 07:33:00,-24.60405176053287,0.1
2018-01-01 07:34:00,0.0,0.1
2018-01-01 07:35:00,0.0,0.1
2018-01-01 07:36:00,0.0,0.1
2018-01-01 07:37:00,0.0,0.1
2018-01-01 07:38:00,0.0,0.1
2018-01-01 07:39:00,0.0,0.1
2018-01-01 07:40:00,0.0,0.1
2018-01-01 07:41:00,0.0,0.1
2018-01-01 07:42:00,-165.92924312766885,0.1
2018-01-01 07:43:00,-312.27863171779774,0.1
2018-01-01 07:44:00,-95.73728183187941,0.1
2018-01-01 07:45:00,166.19509402657516,0.1
2018-01-01 07:46:00,436.788715006706,0.1
2018-01-01 07:47:00,531.7560006851643,0.1
2018-01-01 07:48:00,453.0639239444911,0.1
2018-01-01 07:49:00,636.3615961325646,0.1
2018-01-01 07:50:00,681.4062396005645,0.1
2018-01-01 07:51:00,591.1599359084121,0.1
2018-01-01 07:52:00,559.043137290012,0.1
2018-01-01 07:53:00,27.06153891381876,0.1
2018-01-01 07:54:00,-176.65391846398057,0.1
2018-01-01 07:55:00,-231.11885734248224,0.1
2018-01-01 07:56:00,-234.81644700501028,0.1
2018-01-01 07:57:00,-233.72079255787438,0.1
2018-01-01 07:58:00,0.0,0.1
2018-01-01 07:59:00,0.0,0.1
2018-01-01 08:00:00,0.0,0.1
2018-01-01 08:01:00,0.0,0.1
2018-01-01 08:02:00,0.0,0.1
2018-01-01 08:03:00,0.0,0.1
2018-01-01 08:04:00,0.0,0.1
2018-01-01 08:05:00,0.0,0.1
2018-01-01 08:06:00,-183.49707529907948,0.1
2018-01-01 08:07:00,-315.9362400554538,0.1
2018-01-01 08:08:00,-221.47952953479162,0.1
2018-01-01 08:09:00,-220.65278365512592,0.1
2018-01-01 08:10:00,-146.79918200405825,0.1
2018-01-01 08:11:00,-80.95736505144392,0.1
2018-01-01 08:12:00,-62.12338573049955,0.1
2018-01-01 08:13:00,-54.07059864869392,0.1
2018-01-01 08:14:00,-48.58215268301677,0.1
2018-01-01 08:15:00,-65.86087947605598,0.1
2018-01-01 08:16:00,-107.69468484350759,0.1
2018-01-01 08:17:00,-223.9502832019996,0.1
